exam_id,url,title,question_id
25,https://www.examtopics.com/discussions/amazon/view/150813-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 34 discussion,34
25,https://www.examtopics.com/discussions/amazon/view/150814-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 35 discussion,35
25,https://www.examtopics.com/discussions/amazon/view/151041-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 36 discussion,36
25,https://www.examtopics.com/discussions/amazon/view/150816-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 37 discussion,37
25,https://www.examtopics.com/discussions/amazon/view/151094-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 38 discussion,38
25,https://www.examtopics.com/discussions/amazon/view/150820-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 39 discussion,39
25,https://www.examtopics.com/discussions/amazon/view/150821-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 40 discussion,40
25,https://www.examtopics.com/discussions/amazon/view/151042-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 41 discussion,41
25,https://www.examtopics.com/discussions/amazon/view/151043-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 42 discussion,42
25,https://www.examtopics.com/discussions/amazon/view/150822-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 43 discussion,43
25,https://www.examtopics.com/discussions/amazon/view/151044-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 44 discussion,44
25,https://www.examtopics.com/discussions/amazon/view/150924-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 45 discussion,45
25,https://www.examtopics.com/discussions/amazon/view/151045-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 46 discussion,46
25,https://www.examtopics.com/discussions/amazon/view/150827-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 47 discussion,47
25,https://www.examtopics.com/discussions/amazon/view/151346-exam-aws-certified-ai-practitioner-aif-c01-topic-1-question/,Exam AWS Certified AI Practitioner AIF-C01 topic 1 question 48 discussion,48
